operation, path, request, response, description
get ,/containers/json ,untitled ,ContainerSummary ,List containers
post ,/containers/create ,ContainerConfig ,ContainerCreateResponse ,Create a container
get ,/containers/{id}/json ,untitled ,ContainerInspectResponse ,Inspect a container
get ,/containers/{id}/top ,untitled ,ContainerTopResponse ,List processes running inside a container
get ,/containers/{id}/logs ,untitled ,string ,Get container logs
get ,/containers/{id}/changes ,untitled ,array object ,Get changes on a container’s filesystem
get ,/containers/{id}/export ,untitled ,untitled ,Export a container
get ,/containers/{id}/stats ,untitled ,object ,Get container stats based on resource usage
post ,/containers/{id}/resize ,untitled ,untitled ,Resize a container TTY
post ,/containers/{id}/start ,untitled ,untitled ,Start a container
post ,/containers/{id}/stop ,untitled ,untitled ,Stop a container
post ,/containers/{id}/restart ,untitled ,untitled ,Restart a container
post ,/containers/{id}/kill ,untitled ,untitled ,Kill a container
post ,/containers/{id}/update ,Resources ,ContainerUpdateResponse ,Update a container
post ,/containers/{id}/rename ,untitled ,untitled ,Rename a container
post ,/containers/{id}/pause ,untitled ,untitled ,Pause a container
post ,/containers/{id}/unpause ,untitled ,untitled ,Unpause a container
post ,/containers/{id}/attach ,untitled ,untitled ,Attach to a container
get ,/containers/{id}/attach/ws ,untitled ,untitled ,Attach to a container via a websocket
post ,/containers/{id}/wait ,untitled ,ContainerWaitResponse ,Wait for a container
delete ,/containers/{id} ,untitled ,untitled ,Remove a container
head ,/containers/{id}/archive ,untitled ,untitled ,Get information about files in a container
get ,/containers/{id}/archive ,untitled ,untitled ,Get an archive of a filesystem resource in a container
put ,/containers/{id}/archive ,string ,untitled ,Extract an archive of files or folders to a directory in a container
post ,/containers/prune ,untitled ,ContainerPruneResponse ,Delete stopped containers
get ,/images/json ,untitled ,array ImageSummary ,List Images
post ,/build ,string ,untitled ,Build an image
post ,/build/prune ,untitled ,BuildPruneResponse ,Delete builder cache
post ,/images/create ,string ,untitled ,Create an image
get ,/images/{name}/json ,untitled ,Image ,Inspect an image
get ,/images/{name}/history ,untitled ,array object ,Get the history of an image
post ,/images/{name}/push ,untitled ,untitled ,Push an image
post ,/images/{name}/tag ,untitled ,untitled ,Tag an image
delete ,/images/{name} ,untitled ,array ImageDeleteResponseItem ,Remove an image
get ,/images/search ,untitled ,array object ,Search images
post ,/images/prune ,untitled ,ImagePruneResponse ,Delete unused images
post ,/auth ,AuthConfig ,SystemAuthResponse ,Check auth configuration
get ,/info ,untitled ,SystemInfo ,Get system information
get ,/version ,untitled ,SystemVersionResponse ,Get version
get ,/_ping ,untitled ,string ,Ping
head ,/_ping ,untitled ,string ,Ping
post ,/commit ,ContainerConfig ,IdResponse ,Create a new image from a container
get ,/events ,untitled ,SystemEventsResponse ,Monitor events
get ,/system/df ,untitled ,SystemDataUsageResponse ,Get data usage information
get ,/images/{name}/get ,untitled ,string ,Export an image
get ,/images/get ,untitled ,string ,Export several images
